Treatment,Stage,ER,HER2,Tamoxifen HR,Trastuzumab HR,Chemo HR,Combination
Tamoxifen,Early,+,+,0.70000,1.00000,1.00000,0.70000
Tamoxifen,Early,+,-,0.70000,1.00000,1.00000,0.70000
Tamoxifen,Early,-,+,1.00000,1.00000,1.00000,1.00000
Tamoxifen,Early,-,-,1.00000,1.00000,1.00000,1.00000
Tamoxifen,Advanced,+,+,0.70000,1.00000,1.00000,0.70000
Tamoxifen,Advanced,+,-,0.70000,1.00000,1.00000,0.70000
Tamoxifen,Advanced,-,+,1.00000,1.00000,1.00000,1.00000
Tamoxifen,Advanced,-,-,1.00000,1.00000,1.00000,1.00000
Tamoxifen+Chemo,Early,+,+,0.70000,1.00000,0.77500,0.54250
Tamoxifen+Chemo,Early,+,-,0.70000,1.00000,0.77500,0.54250
Tamoxifen+Chemo,Early,-,+,1.00000,1.00000,0.77500,0.77500
Tamoxifen+Chemo,Early,-,-,1.00000,1.00000,0.77500,0.77500
Tamoxifen+Chemo,Advanced,+,+,0.70000,1.00000,0.77500,0.54250
Tamoxifen+Chemo,Advanced,+,-,0.70000,1.00000,0.77500,0.54250
Tamoxifen+Chemo,Advanced,-,+,1.00000,1.00000,0.77500,0.77500
Tamoxifen+Chemo,Advanced,-,-,1.00000,1.00000,0.77500,0.77500
Trastuzumab+Tamoxifen,Early,+,+,0.70000,0.70000,1.00000,0.49000
Trastuzumab+Tamoxifen,Early,+,-,0.70000,1.00000,1.00000,0.70000
Trastuzumab+Tamoxifen,Early,-,+,1.00000,0.70000,1.00000,0.70000
Trastuzumab+Tamoxifen,Early,-,-,1.00000,1.00000,1.00000,1.00000
Trastuzumab+Tamoxifen,Advanced,+,+,0.70000,0.70000,1.00000,0.49000
Trastuzumab+Tamoxifen,Advanced,+,-,0.70000,1.00000,1.00000,0.70000
Trastuzumab+Tamoxifen,Advanced,-,+,1.00000,0.70000,1.00000,0.70000
Trastuzumab+Tamoxifen,Advanced,-,-,1.00000,1.00000,1.00000,1.00000
Trastuzumab+Tamoxifen+Chemo,Early,+,+,0.70000,0.70000,0.77500,0.37975
Trastuzumab+Tamoxifen+Chemo,Early,+,-,0.70000,1.00000,0.77500,0.54250
Trastuzumab+Tamoxifen+Chemo,Early,-,+,1.00000,0.70000,0.77500,0.54250
Trastuzumab+Tamoxifen+Chemo,Early,-,-,1.00000,1.00000,0.77500,0.77500
Trastuzumab+Tamoxifen+Chemo,Advanced,+,+,0.70000,0.70000,0.77500,0.37975
Trastuzumab+Tamoxifen+Chemo,Advanced,+,-,0.70000,1.00000,0.77500,0.54250
Trastuzumab+Tamoxifen+Chemo,Advanced,-,+,1.00000,0.70000,0.77500,0.54250
Trastuzumab+Tamoxifen+Chemo,Advanced,-,-,1.00000,1.00000,0.77500,0.77500
Chemo,Early,+,+,1.00000,1.00000,0.77500,0.77500
Chemo,Early,+,-,1.00000,1.00000,0.77500,0.77500
Chemo,Early,-,+,1.00000,1.00000,0.77500,0.77500
Chemo,Early,-,-,1.00000,1.00000,0.77500,0.77500
Chemo,Advanced,+,+,1.00000,1.00000,0.77500,0.77500
Chemo,Advanced,+,-,1.00000,1.00000,0.77500,0.77500
Chemo,Advanced,-,+,1.00000,1.00000,0.77500,0.77500
Chemo,Advanced,-,-,1.00000,1.00000,0.77500,0.77500
Trastuzumab+Chemo,Early,+,+,1.00000,0.70000,0.77500,0.54250
Trastuzumab+Chemo,Early,+,-,1.00000,1.00000,0.77500,0.77500
Trastuzumab+Chemo,Early,-,+,1.00000,0.70000,0.77500,0.54250
Trastuzumab+Chemo,Early,-,-,1.00000,1.00000,0.77500,0.77500
Trastuzumab+Chemo,Advanced,+,+,1.00000,0.70000,0.77500,0.54250
Trastuzumab+Chemo,Advanced,+,-,1.00000,1.00000,0.77500,0.77500
Trastuzumab+Chemo,Advanced,-,+,1.00000,0.70000,0.77500,0.54250
Trastuzumab+Chemo,Advanced,-,-,1.00000,1.00000,0.77500,0.77500
Trastuzumab,Early,+,+,1.00000,0.70000,1.00000,0.70000
Trastuzumab,Early,+,-,1.00000,1.00000,1.00000,1.00000
Trastuzumab,Early,-,+,1.00000,0.70000,1.00000,0.70000
Trastuzumab,Early,-,-,1.00000,1.00000,1.00000,1.00000
Trastuzumab,Advanced,+,+,1.00000,0.70000,1.00000,0.70000
Trastuzumab,Advanced,+,-,1.00000,1.00000,1.00000,1.00000
Trastuzumab,Advanced,-,+,1.00000,0.70000,1.00000,0.70000
Trastuzumab,Advanced,-,-,1.00000,1.00000,1.00000,1.00000
